Year,Week,Resort,Visitors,Region,Capacity,Base_Elevation,Lifts,Is_Holiday_Week,Is_Peak_Season,Is_COVID_Period,Is_School_Holiday,Avg_Max_Temp,Avg_Min_Temp,Total_Rainfall,Snow_Making_Days,Ideal_Snow_Days,Snow_Preservation_Days,Snow_Accumulation,Comfortable_Days,Temp_Variability,Extreme_Weather_Days,Utilization_Rate,Visitors_per_Lift,Is_Outlier
2014,1,Mt. Baw Baw,555,VIC,5000,1460,7,False,False,False,False,4.957142857142857,1.1,24.4,0.0,0.0,4.0,0.0,4.0,3.857142857142857,0.0,0.111,79.28571428571429,False
2014,1,Mt. Stirling,60,VIC,2000,1400,0,False,False,False,False,,,,,,,,,,,0.03,60.0,False
2014,1,Mt. Hotham,3483,VIC,8000,1750,14,False,False,False,False,3.4571428571428577,-1.1428571428571428,42.0,2.0,0.0,5.0,346.0,5.0,4.6000000000000005,0.0,0.435375,248.78571428571428,False
2014,1,Falls Creek,2790,VIC,8500,1600,15,False,False,False,False,4.6,-0.3,23.8,1.0,0.0,5.0,6.0,5.0,4.8999999999999995,0.0,0.32823529411764707,186.0,False
2014,1,Mt. Buller,8296,VIC,10000,1805,20,False,False,False,False,4.271428571428571,-0.014285714285714266,14.2,1.0,0.0,5.0,0.0,5.0,4.285714285714286,0.0,0.8296,414.8,False
2014,1,Selwyn,1041,NSW,4000,1614,8,False,False,False,False,6.828571428571428,1.5714285714285714,29.200000000000003,0.0,0.0,1.0,0.0,1.0,5.257142857142857,0.0,0.26025,130.125,False
2014,1,Thredbo,5535,NSW,12000,1370,15,False,False,False,False,4.714285714285714,-2.0,40.6,2.0,0.0,4.0,306.0,4.0,6.714285714285714,0.0,0.46125,369.0,False
2014,1,Perisher,7370,NSW,15000,1720,47,False,False,False,False,6.328571428571428,-1.5857142857142856,62.0,0.0,0.0,4.0,0.0,4.0,7.914285714285714,0.0,0.49133333333333334,156.80851063829786,False
2014,1,Charlotte Pass,408,NSW,1500,1765,4,False,False,False,False,,,,,,,,,,,0.272,102.0,False
2014,2,Mt. Baw Baw,804,VIC,5000,1460,7,True,False,False,True,5.485714285714286,0.8142857142857143,21.0,0.0,0.0,4.0,0.0,4.0,4.671428571428571,0.0,0.1608,114.85714285714286,False
2014,2,Mt. Stirling,42,VIC,2000,1400,0,True,False,False,True,,,,,,,,,,,0.021,42.0,False
2014,2,Mt. Hotham,1253,VIC,8000,1750,14,True,False,False,True,3.0,-1.2571428571428573,13.0,2.0,0.0,6.0,38.0,6.0,4.257142857142857,0.0,0.156625,89.5,False
2014,2,Falls Creek,1425,VIC,8500,1600,15,True,False,False,True,4.414285714285714,-0.2857142857142857,7.6,2.0,0.0,4.0,0.0,4.0,4.7,0.0,0.1676470588235294,95.0,False
2014,2,Mt. Buller,1987,VIC,10000,1805,20,True,False,False,True,5.257142857142857,-0.34285714285714286,47.6,1.0,0.0,3.0,0.0,3.0,5.6000000000000005,0.0,0.1987,99.35,False
2014,2,Selwyn,383,NSW,4000,1614,8,True,False,False,True,6.714285714285714,1.5285714285714285,14.4,0.0,0.0,1.0,0.0,1.0,5.185714285714285,0.0,0.09575,47.875,False
2014,2,Thredbo,2090,NSW,12000,1370,15,True,False,False,True,2.6571428571428575,-1.6857142857142857,8.0,3.0,0.0,7.0,50.0,7.0,4.3428571428571425,0.0,0.17416666666666666,139.33333333333334,False
2014,2,Perisher,2751,NSW,15000,1720,47,True,False,False,True,5.257142857142857,-1.8571428571428572,13.799999999999999,1.0,0.0,3.0,4.0,3.0,7.114285714285714,0.0,0.1834,58.53191489361702,False
2014,2,Charlotte Pass,151,NSW,1500,1765,4,True,False,False,True,,,,,,,,,,,0.10066666666666667,37.75,False
2014,3,Mt. Baw Baw,993,VIC,5000,1460,7,False,False,False,False,1.042857142857143,-1.8142857142857143,76.4,3.0,0.0,7.0,374.0,7.0,2.857142857142857,0.0,0.1986,141.85714285714286,False
2014,3,Mt. Stirling,30,VIC,2000,1400,0,False,False,False,False,,,,,,,,,,,0.015,30.0,False
2014,3,Mt. Hotham,2992,VIC,8000,1750,14,False,False,False,False,-0.9000000000000001,-3.2857142857142856,20.8,7.0,2.0,7.0,208.0,7.0,2.3857142857142857,0.0,0.374,213.71428571428572,False
2014,3,Falls Creek,2101,VIC,8500,1600,15,False,False,False,False,0.09999999999999999,-2.8285714285714287,69.6,7.0,1.0,7.0,696.0,7.0,2.9285714285714284,0.0,0.2471764705882353,140.06666666666666,False
2014,3,Mt. Buller,2413,VIC,10000,1805,20,False,False,False,False,0.3857142857142857,-2.5142857142857147,133.6,7.0,1.0,7.0,1336.0,7.0,2.8999999999999995,1.0,0.2413,120.65,False
2014,3,Selwyn,597,NSW,4000,1614,8,False,False,False,False,1.6714285714285713,-0.8571428571428571,109.0,3.0,0.0,7.0,418.0,7.0,2.5285714285714285,0.0,0.14925,74.625,False
2014,3,Thredbo,3216,NSW,12000,1370,15,False,False,False,False,-1.0285714285714287,-4.114285714285715,4.2,7.0,2.0,7.0,42.0,7.0,3.085714285714286,0.0,0.268,214.4,False
2014,3,Perisher,4255,NSW,15000,1720,47,False,False,False,False,0.8857142857142856,-2.457142857142857,220.6,6.0,1.0,7.0,2206.0,7.0,3.3428571428571425,2.0,0.2836666666666667,90.53191489361703,False
2014,3,Charlotte Pass,230,NSW,1500,1765,4,False,False,False,False,,,,,,,,,,,0.15333333333333332,57.5,False
2014,4,Mt. Baw Baw,2976,VIC,5000,1460,7,False,False,False,False,2.5285714285714285,-0.9571428571428572,82.0,4.0,0.0,5.0,788.0,5.0,3.4857142857142853,0.0,0.5952,425.14285714285717,False
2014,4,Mt. Stirling,165,VIC,2000,1400,0,False,False,False,False,,,,,,,,,,,0.0825,165.0,False
2014,4,Mt. Hotham,9680,VIC,8000,1750,14,False,False,False,False,-0.9857142857142858,-3.4714285714285715,0.6,7.0,2.0,7.0,6.0,7.0,2.485714285714286,0.0,1.21,691.4285714285714,False
2014,4,Falls Creek,9544,VIC,8500,1600,15,False,False,False,False,1.3857142857142857,-2.685714285714286,24.2,5.0,1.0,5.0,242.0,5.0,4.071428571428571,0.0,1.1228235294117648,636.2666666666667,False
2014,4,Mt. Buller,18831,VIC,10000,1805,20,False,False,False,False,0.9571428571428572,-1.8571428571428572,80.0,5.0,0.0,7.0,740.0,7.0,2.814285714285714,0.0,1.8831,941.55,False
2014,4,Selwyn,2877,NSW,4000,1614,8,False,False,False,False,3.142857142857143,-0.7571428571428571,60.2,3.0,0.0,5.0,600.0,5.0,3.9,0.0,0.71925,359.625,False
2014,4,Thredbo,15497,NSW,12000,1370,15,False,False,False,False,-1.3142857142857143,-4.357142857142857,0.4,7.0,2.0,7.0,4.0,7.0,3.042857142857143,0.0,1.2914166666666667,1033.1333333333334,False
2014,4,Perisher,20265,NSW,15000,1720,47,False,False,False,False,2.9428571428571426,-2.457142857142857,53.8,4.0,0.0,5.0,526.0,5.0,5.3999999999999995,0.0,1.351,431.17021276595744,False
2014,4,Charlotte Pass,1134,NSW,1500,1765,4,False,False,False,False,,,,,,,,,,,0.756,283.5,False
2014,5,Mt. Baw Baw,11112,VIC,5000,1460,7,False,False,False,False,0.6857142857142857,-2.257142857142857,82.6,6.0,0.0,7.0,710.0,7.0,2.942857142857143,0.0,2.2224,1587.4285714285713,False
2014,5,Mt. Stirling,645,VIC,2000,1400,0,False,False,False,False,,,,,,,,,,,0.3225,645.0,False
